job_id,job_title,role,location,company,skills,url
0,Business Analyst,Business Analyst,Mumbai,TCS,"Airflow, GCP, Hadoop, PyTorch, R, SQL",https://example.com/job/0
1,ML Engineer - Junior,ML Engineer,Kolkata,Accenture,"Data Visualization, Pandas, R, Statistics",https://example.com/job/1
2,BI Developer - Lead,BI Developer,Mumbai,Flipkart,"AWS, ETL, Excel, NLP, Power BI, Statistics, Tableau, TensorFlow",https://example.com/job/2
3,BI Developer - Junior,BI Developer,Bengaluru,Freshworks,"Azure, Deep Learning, GCP, Machine Learning, Pandas, Statistics, TensorFlow, scikit-learn",https://example.com/job/3
4,Data Scientist - Lead,Data Scientist,Bengaluru,PhonePe,"Data Visualization, GCP, Hadoop, Linux, PyTorch, SQL, Spark, Tableau",https://example.com/job/4
5,ML Engineer - Junior,ML Engineer,Kolkata,PhonePe,"Deep Learning, Kubernetes, Statistics, TensorFlow",https://example.com/job/5
6,ML Engineer - Junior,ML Engineer,Bengaluru,Deloitte,"Communication, NLP, R, Spark",https://example.com/job/6
7,ML Engineer,ML Engineer,Hyderabad,Amazon,"Excel, GCP, Machine Learning, Power BI, Python, R",https://example.com/job/7
8,Data Scientist,Data Scientist,Delhi,Flipkart,"Azure, Linux, Spark, Tableau, scikit-learn",https://example.com/job/8
9,BI Developer,BI Developer,Hyderabad,Amazon,"AWS, Deep Learning, NLP, Pandas, Python, SQL, Tableau",https://example.com/job/9
10,BI Developer - Lead,BI Developer,Mumbai,Deloitte,"API, AWS, Airflow, Azure, Python",https://example.com/job/10
11,BI Developer,BI Developer,Kolkata,PhonePe,"AWS, Excel, NLP, Pandas, PyTorch, R, SQL, Tableau",https://example.com/job/11
12,Data Analyst - Junior,Data Analyst,Bengaluru,Freshworks,"Excel, Kubernetes, PyTorch, Python, Tableau",https://example.com/job/12
13,BI Developer - Senior,BI Developer,Chennai,Deloitte,"API, Data Visualization, Excel, Git, Spark, Tableau, TensorFlow",https://example.com/job/13
14,Business Analyst,Business Analyst,Hyderabad,Wipro,"API, Deep Learning, Hadoop, Pandas, PyTorch",https://example.com/job/14
15,Data Analyst - Junior,Data Analyst,Hyderabad,Deloitte,"Airflow, Data Visualization, Hadoop, Linux, NLP, Pandas, PyTorch",https://example.com/job/15
16,Data Scientist,Data Scientist,Delhi,Accenture,"Communication, Git, Machine Learning, Power BI, Spark",https://example.com/job/16
17,BI Developer,BI Developer,Pune,Amazon,"API, Data Visualization, Linux, Pandas, Power BI, PyTorch",https://example.com/job/17
18,Data Analyst - Lead,Data Analyst,Noida,Infosys,"AWS, Communication, Docker, Excel, GCP, Kubernetes, NLP, Power BI, SQL",https://example.com/job/18
19,ML Engineer,ML Engineer,Noida,Infosys,"Communication, ETL, Excel, Git, Linux, Power BI, Tableau",https://example.com/job/19
20,Business Analyst - Senior,Business Analyst,Mumbai,TCS,"API, Git, Hadoop, NLP, Python",https://example.com/job/20
21,ML Engineer - Senior,ML Engineer,Delhi,TCS,"NumPy, Statistics, scikit-learn",https://example.com/job/21
22,ML Engineer - Junior,ML Engineer,Mumbai,Amazon,"ETL, Hadoop, Kubernetes, NLP",https://example.com/job/22
23,BI Developer - Senior,BI Developer,Mumbai,PhonePe,"Data Visualization, Hadoop, Kubernetes, Machine Learning, Tableau",https://example.com/job/23
24,Data Analyst - Lead,Data Analyst,Kolkata,PhonePe,"Hadoop, Kubernetes, Machine Learning, R, Spark",https://example.com/job/24
25,Data Scientist - Junior,Data Scientist,Hyderabad,Infosys,"A/B Testing, Airflow, Data Visualization, GCP, Hadoop, Linux",https://example.com/job/25
